Ticker,Sector
A, Health Care
AA, Materials
AAL, Industrials
AAON, Industrials
AAP, Consumer Discretionary
AAPL, Information Technology
ABBV, Health Care
ABNB, Consumer Discretionary
ABT, Health Care
ACGL, Financials
ACHC, Health Care
ACI, Consumer Staples
ACM, Industrials
ACN, Information Technology
ADBE, Information Technology
ADC, Real Estate
ADI, Information Technology
ADM, Consumer Staples
ADP, Industrials
ADSK, Information Technology
ADT, Consumer Discretionary
AEE, Utilities
AEP, Utilities
AES, Utilities
AFG, Financials
AFL, Financials
AFRM, Financials
AGCO, Industrials
AGNC, Financials
AGO, Financials
AIG, Financials
AIZ, Financials
AJG, Financials
AKAM, Information Technology
AL, Industrials
ALAB, Information Technology
ALB, Materials
ALGM, Information Technology
ALGN, Health Care
ALK, Industrials
ALL, Financials
ALLE, Industrials
ALLY, Financials
ALNY, Health Care
ALSN, Industrials
AM, Energy
AMAT, Information Technology
AMCR, Materials
AMD, Information Technology
AME, Industrials
AMED, Health Care
AMG, Financials
AMGN, Health Care
AMH, Real Estate
AMKR, Information Technology
AMP, Financials
AMT, Real Estate
AMTM, Industrials
AMZN, Consumer Discretionary
AN, Consumer Discretionary
ANET, Information Technology
ANGI, Communication
ANSS, Information Technology
AON, Financials
AOS, Industrials
APA, Energy
APD, Materials
APG, Industrials
APH, Information Technology
APLS, Health Care
APO, Financials
APP, Information Technology
APPF, Information Technology
APTV, Consumer Discretionary
AR, Energy
ARE, Real Estate
ARES, Financials
ARMK, Consumer Discretionary
ARW, Information Technology
AS, Consumer Discretionary
ASH, Materials
ATI, Industrials
ATO, Utilities
ATR, Materials
AVB, Real Estate
AVGO, Information Technology
AVT, Information Technology
AVTR, Health Care
AVY, Materials
AWI, Industrials
AWK, Utilities
AXON, Industrials
AXP, Financials
AXS, Financials
AXTA, Materials
AYI, Industrials
AZEK, Industrials
AZO, Consumer Discretionary
AZTA, Health Care
BA, Industrials
BAC, Financials
BAH, Industrials
BALL, Materials
BAX, Health Care
BBWI, Consumer Discretionary
BBY, Consumer Discretionary
BC, Consumer Discretionary
BDX, Health Care
BEN, Financials
BEPC, Utilities
BFA, Consumer Staples
BFAM, Consumer Discretionary
BFB, Consumer Staples
BG, Consumer Staples
BHF, Financials
BIIB, Health Care
BILL, Information Technology
BIO, Health Care
BIRK, Consumer Discretionary
BJ, Consumer Staples
BK, Financials
BKNG, Consumer Discretionary
BKR, Energy
BLD, Consumer Discretionary
BLDR, Industrials
BLK, Financials
BMRN, Health Care
BMY, Health Care
BOKF, Financials
BPOP, Financials
BR, Industrials
BRBR, Consumer Staples
BRK-B, Financials
BRKR, Health Care
BRO, Financials
BROS, Consumer Discretionary
BRX, Real Estate
BSX, Health Care
BSY, Information Technology
BURL, Consumer Discretionary
BWA, Consumer Discretionary
BWXT, Industrials
BX, Financials
BXP, Real Estate
BYD, Consumer Discretionary
C, Financials
CACC, Financials
CACI, Industrials
CAG, Consumer Staples
CAH, Health Care
CAR, Industrials
CARR, Industrials
CART, Consumer Staples
CASY, Consumer Staples
CAT, Industrials
CAVA, Consumer Discretionary
CB, Financials
CBOE, Financials
CBRE, Real Estate
CBSH, Financials
CC, Materials
CCCS, Information Technology
CCI, Real Estate
CCK, Materials
CCL, Consumer Discretionary
CDNS, Information Technology
CDW, Information Technology
CE, Materials
CEG, Utilities
CELH, Consumer Staples
CERT, Health Care
CF, Materials
CFG, Financials
CFLT, Information Technology
CFR, Financials
CG, Financials
CGNX, Information Technology
CHD, Consumer Staples
CHDN, Consumer Discretionary
CHE, Health Care
CHH, Consumer Discretionary
CHRD, Energy
CHRW, Industrials
CHTR, Communication
CI, Health Care
CIEN, Information Technology
CINF, Financials
CIVI, Energy
CL, Consumer Staples
CLF, Materials
CLH, Industrials
CLVT, Industrials
CLX, Consumer Staples
CMA, Financials
CMCSA, Communication
CME, Financials
CMG, Consumer Discretionary
CMI, Industrials
CMS, Utilities
CNA, Financials
CNC, Health Care
CNH, Industrials
CNM, Industrials
CNP, Utilities
CNXC, Industrials
COF, Financials
COHR, Information Technology
COIN, Financials
COKE, Consumer Staples
COLB, Financials
COLD, Real Estate
COLM, Consumer Discretionary
COO, Health Care
COP, Energy
COR, Health Care
COST, Consumer Staples
COTY, Consumer Staples
CPAY, Financials
CPB, Consumer Staples
CPNG, Consumer Discretionary
CPRI, Consumer Discretionary
CPRT, Industrials
CPT, Real Estate
CR, Industrials
CRH, Materials
CRI, Consumer Discretionary
CRL, Health Care
CRM, Information Technology
CROX, Consumer Discretionary
CRUS, Information Technology
CRWD, Information Technology
CSCO, Information Technology
CSGP, Real Estate
CSL, Industrials
CSX, Industrials
CTAS, Industrials
CTRA, Energy
CTSH, Information Technology
CTVA, Materials
CUBE, Real Estate
CUZ, Real Estate
CVNA, Consumer Discretionary
CVS, Health Care
CVX, Energy
CW, Industrials
CWEN, Utilities
CWENA, Utilities
CXT, Information Technology
CZR, Consumer Discretionary
D, Utilities
DAL, Industrials
DAR, Consumer Staples
DASH, Consumer Discretionary
DAY, Industrials
DBX, Information Technology
DCI, Industrials
DD, Materials
DDOG, Information Technology
DDS, Consumer Discretionary
DE, Industrials
DECK, Consumer Discretionary
DELL, Information Technology
DG, Consumer Staples
DGX, Health Care
DHI, Consumer Discretionary
DHR, Health Care
DINO, Energy
DIS, Communication
DJT, Communication
DKNG, Consumer Discretionary
DKS, Consumer Discretionary
DLB, Information Technology
DLR, Real Estate
DLTR, Consumer Staples
DNB, Industrials
DOC, Real Estate
DOCS, Health Care
DOCU, Information Technology
DOV, Industrials
DOW, Materials
DOX, Information Technology
DPZ, Consumer Discretionary
DRI, Consumer Discretionary
DT, Information Technology
DTE, Utilities
DTM, Energy
DUK, Utilities
DUOL, Consumer Discretionary
DV, Communication
DVA, Health Care
DVN, Energy
DXC, Information Technology
DXCM, Health Care
EA, Communication
EBAY, Consumer Discretionary
ECG, Industrials
ECL, Materials
ED, Utilities
EEFT, Financials
EFX, Industrials
EG, Financials
EGP, Real Estate
EHC, Health Care
EIX, Utilities
EL, Consumer Staples
ELAN, Health Care
ELF, Consumer Staples
ELS, Real Estate
ELV, Health Care
EME, Industrials
EMN, Materials
EMR, Industrials
ENOV, Health Care
ENPH, Information Technology
ENTG, Information Technology
EOG, Energy
EPAM, Information Technology
EPR, Real Estate
EQH, Financials
EQIX, Real Estate
EQR, Real Estate
EQT, Energy
ES, Utilities
ESAB, Industrials
ESI, Materials
ESS, Real Estate
ESTC, Information Technology
ETN, Industrials
ETR, Utilities
ETSY, Consumer Discretionary
EVR, Financials
EVRG, Utilities
EW, Health Care
EWBC, Financials
EXAS, Health Care
EXC, Utilities
EXE, Energy
EXEL, Health Care
EXP, Materials
EXPD, Industrials
EXPE, Consumer Discretionary
EXR, Real Estate
F, Consumer Discretionary
FAF, Financials
FANG, Energy
FAST, Industrials
FBIN, Industrials
FCN, Industrials
FCNCA, Financials
FCX, Materials
FDS, Financials
FDX, Industrials
FE, Utilities
FERG, Industrials
FFIV, Information Technology
FHB, Financials
FHN, Financials
FI, Financials
FICO, Information Technology
FIS, Financials
FITB, Financials
FIVE, Consumer Discretionary
FIVN, Information Technology
FIX, Industrials
FLO, Consumer Staples
FLS, Industrials
FMC, Materials
FNB, Financials
FND, Consumer Discretionary
FNF, Financials
FOUR, Financials
FOX, Communication
